pubg_name        pubg_account_id
---------        ---------------
zlatanzk-_-      account.65e284b579264338b0410ed7b1d6b456
K1LLZ3R4         account.4a33e79893254c4396932fe19bfdbd8b
Keeithy_         account.656e4fadc04849528648f8c5a2ad1fd2
Thay_Dac         account.87bf5138ec154f05b8dfff3b39b8052e
DadBuff          account.e879b1d125784d1d82f370c39a8ff0eb
HUGHLIGAN        account.83b8da704de74dcb8df88812616ae841
abdou            account.bf8910c3d22a43cb98661041ce48a420
K1lawiXiong      account.dbf60efc50404723a1e7407b62da4876
BETUNGAS_        account.68e3652d1782428380a3734d60c8d63f
HanzyXL          account.6bf63255aab44b47b8f26ba0a9ca2961
zVini-_-         account.5bbd744479c44ecea7e1b5dbceb871a0
J1BBS            account.ec33d3e3486643319969f59b2b013f74
Tny7_            account.d8ef6c0370f84fd390fc93e79175933f
fanafps          account.2eb1a24799c24f029cd2069ef6863d53
Haven_-          account.ef1348bd1b75449bbf9b288eb78353d8
lfp1s2A          account.65b3300cccc04d42abaefd346de1b565
AL4N-R           account.7b4ecb761c1f4f8c8f7d1cf2d15de10d
Elokorraa-_-     account.59a91645c67d411abb8ca08b1dba4400
NVRX_            account.48c4d19bcf3b4aa4a162ed3bbc55c09d
zkAiuken-M       account.5ed905cf15b54584ae2af4a9edf5bbc5
Robert1-         account.6647cd31a36f4407bcdc982c825908e3
Nubzky           account.7596b014c7614e3eba967e808a599a84
Anubis4k         account.92a5dda605d64e098439c681503f8f8c
braNN_           account.b92e3a53d1294c31ba1044d53cb00d0e
NoobShadow       account.ec239a74722b4b7493867d2ba2e5d751
Lu1zFern4nd0     account.83b8555e309f4f33b8f45534e4601885
GUIPro_          account.725a865ac1d04f4c919f6f00475cde1c
TWITCH-DERICK_AZ account.39f28b8362e84694816e501c67efaaa9
zxcxxcxcxccxccz  account.3ca65db3440c45fea6b2089fb9569163
Kalniixx         account.953017e85d8341ba9c7c1d59c6f87ad9
FranXzz          account.2a78a134890d49058fd410d84a2dfe71
Sukehiro--       account.d6d364bcdfea493180d6969784b1f21a
mayol-           account.a53f43f07d3a4dbb9dc71a5b65670a96
flashykittenz    account.b36c1cd22ca54a42aa005d3da17ca3cc
tysN-_x          account.e5246119eae54178bef184f02e32f5ae
lantism          account.5f9ccef2a9874e00a437ce4993fc8885
j_reNk           account.359d155ecd5d4f99a977895ce08297fb
CJ_Kristoph      account.39c3081ac10440609e11769b7928d482
Flyin18T         account.08f8b648abf040eea3877621cda8aa5b
Vinvent_Vega     account.35ce7596763f40cbb546274397a11116
Lanksterr        account.e3cef5df31d5455c977bd261af8458dc
Wallouhh_-       account.5751d68105df472cac3217329fa996d6
ChAkOuChHHhHhHHH account.965972e5ddbb4927a4408c3851d268b9
Mi6_ka           account.f542e8b5c24e4d2d8a2068b01a33e0b8
Maurnzz          account.b65b5464354342bba98db0858065d3d7
enzito_          account.f6c17a26ed1646e28ff113c5c1cbccf6
Luciid_oO        account.7f9c4730331b48e0aa2d98e20f776ed1
SneakAttack      account.0d6cc43ec2ec4f779847b1a0c1a37bad
ALcaaaa          account.b0bcf390833e4698b0ca11904f902b89
bragagnollo      account.f394e5e68f994258949a23dd8cfc5ae1
Lilsui           account.815dc0948786433abe051acb6047ce94
JhoN-Gordao      account.a50aa942a73041409856ed6e444e8cb3
WillGriggs       account.428632dd31594eaaad8161a03d00a5d9
CHINO_AKD        account.fa9062ea032749c28e3a773ca3506c7a
Beba_Temperly    account.cb7948233c50444db08fa012fe683a25
Nairiklav        account.a496376d90bf4085b93203abf9525203
Guurrrllll       account.e9aedafd46164a42919e863ac63a4c60
NexisPrime       account.99d6cc97ddcf4d1c82b8a633729a96a8
HOPSING1         account.afb6e405fc1f415398838d15ff064796
Blednica         account.ecd5813b38da4f2ca62b1063dc49c622
xleg-            account.823eb18282d44746a698fbe822c40c8c
Ouchiezz         account.ca9a840ae0a8400a825305dba006d8fe
Dogeman-_-       account.0f657a46729141db870ed22d1eee9595
tAxii-_-         account.49ba40c94c01415cad589e7afc86c065
Gabriel_Per      account.b1b957a834dd45ce8ad97ef4414719a4
gui1211          account.4b421cd1966b424398ed2b1d7288aca0
BL000D_Z         account.963caf3d6ea4454a853755402c8df6e8
JUN10R__         account.69388f4d50b04f5e8265196d87f41f2f
